site,Prob,model
260,0.999808252,XGB_Prob
259,0.997498691,XGB_Prob
243,0.983573258,XGB_Prob
260,0.999893546,XGB_Prob
260,0.999736607,XGB_Prob
258,0.999801934,XGB_Prob
260,0.999889255,XGB_Prob
259,0.999114096,XGB_Prob
260,0.999851346,XGB_Prob
187,0.999752343,XGB_Prob
260,0.999291658,XGB_Prob
258,0.993779719,XGB_Prob
258,0.999850273,XGB_Prob
260,0.999943495,XGB_Prob
260,0.999443233,XGB_Prob
260,0.996568441,XGB_Prob
258,0.999659777,XGB_Prob
259,0.999739587,XGB_Prob
260,0.998356164,XGB_Prob
23,0.999859571,XGB_Prob
259,0.999872327,XGB_Prob
260,0.977796733,XGB_Prob
260,0.999789536,XGB_Prob
260,0.998850107,XGB_Prob
259,0.998570442,XGB_Prob
260,0.965221941,XGB_Prob
260,0.997275531,XGB_Prob
17,0.924610078,XGB_Prob
249,0.999911666,XGB_Prob
260,0.998839319,XGB_Prob
259,0.985261858,XGB_Prob
260,0.98672235,XGB_Prob
77,0.999955654,XGB_Prob
75,0.998079181,XGB_Prob
120,0.974700749,XGB_Prob
260,0.960054994,XGB_Prob
87,0.999911189,XGB_Prob
260,0.999945521,XGB_Prob
260,0.999756396,XGB_Prob
259,0.912157178,XGB_Prob
259,0.999964118,XGB_Prob
258,0.999851227,XGB_Prob
79,0.999144197,XGB_Prob
18,0.998253047,XGB_Prob
259,0.991407156,XGB_Prob
105,0.998615146,XGB_Prob
80,0.996582091,XGB_Prob
260,0.999676347,XGB_Prob
260,0.998620152,XGB_Prob
259,0.985949218,XGB_Prob
260,0.99983573,XGB_Prob
260,0.980181515,XGB_Prob
260,0.999921083,XGB_Prob
24,0.999578655,XGB_Prob
14,0.996410906,XGB_Prob
20,0.999487638,XGB_Prob
259,0.99859184,XGB_Prob
239,0.998280644,XGB_Prob
227,0.999575436,XGB_Prob
259,0.999821961,XGB_Prob
67,0.951381564,XGB_Prob
260,0.999748051,XGB_Prob
165,0.99962914,XGB_Prob
260,0.999931812,XGB_Prob
260,0.890695095,XGB_Prob
260,0.998659968,XGB_Prob
260,0.951626241,XGB_Prob
258,0.999862075,XGB_Prob
258,0.999800503,XGB_Prob
258,0.999760449,XGB_Prob
258,0.999623418,XGB_Prob
72,0.999621987,XGB_Prob
260,0.999777138,XGB_Prob
164,0.999927044,XGB_Prob
259,0.999908328,XGB_Prob
260,0.999689817,XGB_Prob
258,0.989911854,XGB_Prob
260,0.998791754,XGB_Prob
249,0.998606026,XGB_Prob
87,0.992842555,XGB_Prob
260,0.999907851,XGB_Prob
258,0.981027842,XGB_Prob
260,0.99977082,XGB_Prob
260,0.999917388,XGB_Prob
260,0.994540036,XGB_Prob
215,0.999801099,XGB_Prob
79,0.953318954,XGB_Prob
80,0.999803245,XGB_Prob
86,0.997564793,XGB_Prob
260,0.999613225,XGB_Prob
259,0.999713123,XGB_Prob
158,0.999639988,XGB_Prob
260,0.990051806,XGB_Prob
80,0.998915195,XGB_Prob
259,0.998796463,XGB_Prob
258,0.998740494,XGB_Prob
259,0.999907136,XGB_Prob
22,0.999580324,XGB_Prob
260,0.999317169,XGB_Prob
260,0.999616265,XGB_Prob
258,0.999555051,XGB_Prob
257,0.999913454,XGB_Prob
237,0.99988842,XGB_Prob
260,0.999619722,XGB_Prob
76,0.99988389,XGB_Prob
260,0.999896169,XGB_Prob
92,0.98857981,XGB_Prob
