site,Prob,model
239,0.901111841,XGB_Prob
1169,0.950268567,XGB_Prob
179,0.99208343,XGB_Prob
629,0.895567119,XGB_Prob
135,0.895749867,XGB_Prob
281,0.960203409,XGB_Prob
105,0.972640514,XGB_Prob
48,0.981584907,XGB_Prob
540,0.984686673,XGB_Prob
831,0.939709365,XGB_Prob
770,0.961040258,XGB_Prob
238,0.928442121,XGB_Prob
1168,0.882589042,XGB_Prob
222,0.914929092,XGB_Prob
1152,0.878149092,XGB_Prob
239,0.988857865,XGB_Prob
1169,0.754678726,XGB_Prob
416,0.967050493,XGB_Prob
178,0.981420457,XGB_Prob
101,0.967132807,XGB_Prob
593,0.880573034,XGB_Prob
187,0.934624195,XGB_Prob
239,0.903304815,XGB_Prob
1169,0.766274273,XGB_Prob
32,0.98698169,XGB_Prob
175,0.943878412,XGB_Prob
319,0.912496328,XGB_Prob
488,0.933906853,XGB_Prob
734,0.846962869,XGB_Prob
110,0.972258925,XGB_Prob
237,0.956497431,XGB_Prob
1167,0.830120027,XGB_Prob
214,0.956040621,XGB_Prob
322,0.877762914,XGB_Prob
260,0.929099917,XGB_Prob
281,0.963806093,XGB_Prob
361,0.946880877,XGB_Prob
243,0.8959831,XGB_Prob
368,0.989575505,XGB_Prob
90,0.521724939,XGB_Prob
317,0.96042043,XGB_Prob
607,0.922393978,XGB_Prob
239,0.98313117,XGB_Prob
1169,0.982488871,XGB_Prob
579,0.89053458,XGB_Prob
352,0.8191064,XGB_Prob
238,0.985656142,XGB_Prob
1168,0.982552171,XGB_Prob
115,0.887590706,XGB_Prob
24,0.674254656,XGB_Prob
171,0.951789021,XGB_Prob
239,0.946719706,XGB_Prob
1169,0.958599687,XGB_Prob
698,0.98341018,XGB_Prob
201,0.853309035,XGB_Prob
774,0.851738393,XGB_Prob
347,0.910549283,XGB_Prob
557,0.943364978,XGB_Prob
416,0.858285785,XGB_Prob
52,0.934430122,XGB_Prob
286,0.878539145,XGB_Prob
287,0.933516085,XGB_Prob
366,0.925258756,XGB_Prob
861,0.909702301,XGB_Prob
286,0.970924854,XGB_Prob
230,0.854013145,XGB_Prob
215,0.838998675,XGB_Prob
125,0.949009478,XGB_Prob
788,0.903059781,XGB_Prob
109,0.871083021,XGB_Prob
175,0.919477344,XGB_Prob
845,0.819047928,XGB_Prob
583,0.913890064,XGB_Prob
166,0.975460231,XGB_Prob
1096,0.83775723,XGB_Prob
35,0.91554749,XGB_Prob
65,0.961052597,XGB_Prob
109,0.864299357,XGB_Prob
594,0.859053195,XGB_Prob
108,0.804180026,XGB_Prob
239,0.984392524,XGB_Prob
1169,0.873281717,XGB_Prob
353,0.988377512,XGB_Prob
584,0.05719937,XGB_Prob
145,0.990968645,XGB_Prob
117,0.974986374,XGB_Prob
282,0.859634817,XGB_Prob
214,0.799693704,XGB_Prob
172,0.993387699,XGB_Prob
92,0.984526634,XGB_Prob
32,0.371828437,XGB_Prob
63,0.898829043,XGB_Prob
46,0.906656206,XGB_Prob
212,0.835302651,XGB_Prob
108,0.705985427,XGB_Prob
237,0.919611514,XGB_Prob
237,0.898740351,XGB_Prob
1167,0.449332774,XGB_Prob
239,0.870489359,XGB_Prob
1169,0.949752927,XGB_Prob
239,0.974960506,XGB_Prob
1169,0.991762519,XGB_Prob
709,0.974421442,XGB_Prob
733,0.976904571,XGB_Prob
85,0.927085698,XGB_Prob
17,0.947208822,XGB_Prob
239,0.892216384,XGB_Prob
1169,0.968209326,XGB_Prob
228,0.973964572,XGB_Prob
359,0.992114604,XGB_Prob
878,0.947447658,XGB_Prob
324,0.874239981,XGB_Prob
608,0.97025001,XGB_Prob
116,0.983789504,XGB_Prob
281,0.975776494,XGB_Prob
64,0.958658934,XGB_Prob
18,0.812265754,XGB_Prob
391,0.955869555,XGB_Prob
63,0.983340919,XGB_Prob
262,0.858042181,XGB_Prob
625,0.971993625,XGB_Prob
233,0.682734311,XGB_Prob
328,0.958230972,XGB_Prob
256,0.85076046,XGB_Prob
230,0.007525194,XGB_Prob
668,0.973658442,XGB_Prob
46,0.965985656,XGB_Prob
763,0.086769715,XGB_Prob
124,0.952654719,XGB_Prob
51,0.926957369,XGB_Prob
237,0.991569221,XGB_Prob
1167,0.98791194,XGB_Prob
238,0.958441198,XGB_Prob
1168,0.980497122,XGB_Prob
63,0.9221825,XGB_Prob
363,0.979489982,XGB_Prob
90,0.926967978,XGB_Prob
239,0.913618267,XGB_Prob
1169,0.841272652,XGB_Prob
365,0.905607104,XGB_Prob
115,0.830031157,XGB_Prob
367,0.10087914,XGB_Prob
932,0.681935012,XGB_Prob
29,0.718156695,XGB_Prob
108,0.92906934,XGB_Prob
545,0.912017941,XGB_Prob
105,0.954714656,XGB_Prob
573,0.987360835,XGB_Prob
238,0.993033648,XGB_Prob
1168,0.964207172,XGB_Prob
108,0.988780379,XGB_Prob
27,0.926167548,XGB_Prob
567,0.922021627,XGB_Prob
86,0.966042757,XGB_Prob
418,0.680153191,XGB_Prob
239,0.996932864,XGB_Prob
1169,0.802178085,XGB_Prob
518,0.9089185,XGB_Prob
256,0.905360818,XGB_Prob
239,0.805158496,XGB_Prob
1169,0.845990837,XGB_Prob
107,0.935113132,XGB_Prob
614,0.994308054,XGB_Prob
890,0.902226508,XGB_Prob
417,0.889672697,XGB_Prob
164,0.969509721,XGB_Prob
175,0.860396266,XGB_Prob
256,0.910713971,XGB_Prob
109,0.955994725,XGB_Prob
255,0.661657572,XGB_Prob
323,0.954462767,XGB_Prob
67,0.866230905,XGB_Prob
628,0.961815536,XGB_Prob
610,0.694069564,XGB_Prob
628,0.953172147,XGB_Prob
276,0.94721812,XGB_Prob
108,0.799969196,XGB_Prob
767,0.847497761,XGB_Prob
239,0.969869494,XGB_Prob
1169,0.960999608,XGB_Prob
409,0.776509941,XGB_Prob
238,0.9479357,XGB_Prob
1168,0.940566301,XGB_Prob
239,0.956598043,XGB_Prob
1169,0.855590999,XGB_Prob
254,0.950863838,XGB_Prob
628,0.97982347,XGB_Prob
416,0.777523756,XGB_Prob
141,0.992567539,XGB_Prob
79,0.594032645,XGB_Prob
367,0.988091707,XGB_Prob
51,0.988694251,XGB_Prob
42,0.839555085,XGB_Prob
108,0.978959262,XGB_Prob
105,0.903972983,XGB_Prob
418,0.142705157,XGB_Prob
111,0.954128265,XGB_Prob
788,0.959858418,XGB_Prob
