site,XGB_prob,RF_prob,SVM_prob
707,4.24E-05,0,0.021861611
254,4.12E-05,0,0.001848273
66,0.002407073,0.09,0.073499848
239,0.040752191,0.04,0.04160367
1169,0.03922765,0.04,0.050398547
43,0.009162507,0.05,0.089315194
363,1.93E-05,0,0.001511783
136,2.83E-05,0,0.001021649
84,4.99E-05,0.01,0.045525827
61,0.001381094,0.06,0.014950555
149,4.57E-05,0.01,0.003106166
1079,4.57E-05,0,0.007247845
239,6.27E-05,0,0.004226777
1169,0.00197132,0,0.026557049
374,0.000269075,0.01,0.030338115
237,1.39E-05,0,0.001899029
1167,0.000249168,0,0.005520136
280,0.000321427,0,0.013118459
213,0.000123158,0,0.019319737
832,0.002326271,0.07,0.079144648
709,4.00E-07,0,0.008277747
768,0.001865895,0.01,0.024643678
239,0.000370675,0,0.000733299
1169,0.000289788,0.06,0.032573465
346,0.035921503,0.1,0.362226715
616,8.13E-06,0,0.004339512
652,0.005448975,0,0.089412462
557,0.179843247,0.08,0.280999031
239,4.76E-06,0,0.006614335
532,0.000281122,0,0.041917394
33,0.001514799,0.01,0.026582093
828,8.49E-05,0.01,0.007256938
134,0.012553707,0.05,0.067957282
1064,0.00028997,0,0.013938408
533,0.000194601,0.02,0.056104035
830,7.16E-05,0,0.00720284
584,0.000343101,0,0.014366969
82,0.001725579,0.02,0.038391998
112,0.005955719,0,0.01925584
204,0.00024152,0,0.064534506
55,0.009646216,0.03,0.049548054
259,0.002939103,0.05,0.05966979
217,0.074654274,0.17,0.136187476
608,0.001139653,0.01,0.01572884
699,0.009138077,0,0.032018612
816,0.007980959,0.02,0.069381921
187,0.000308012,0,0.005159896
1117,0.002239671,0.05,0.020623773
488,0.003859352,0.02,0.053766179
864,0.000161231,0,0.005527677
41,6.01E-06,0.01,0.016724449
84,0.003011844,0.01,0.022902186
502,0.001286671,0,0.03659664
40,0.034728214,0.14,0.800315297
665,0.01381959,0.18,0.05767206
263,0.000155742,0,0.004364441
385,5.66E-05,0.03,0.01005051
170,2.82E-06,0,0.001531634
1100,3.24E-05,0,0.016149945
79,0.000156073,0,0.039966371
55,3.95E-05,0,0.002180485
527,0.002116855,0,0.032301201
237,0.108582869,0.14,0.813590559
1167,0.010862923,0.33,0.046597765
269,1.65E-05,0,0.014851413
363,4.39E-05,0,0.00613236
37,0.007110735,0,0.007834774
967,0.01490908,0.07,0.146184655
518,0.024131473,0.01,0.041099622
70,5.31E-05,0.02,0.002804584
1000,0.000465571,0,0.029522195
642,0.222391322,0.2,0.115703038
108,0.000262811,0,0.006713253
