site,Prob,model
234,7.53E-06,XGB_prob
260,7.32E-05,XGB_prob
259,4.75E-05,XGB_prob
136,1.52E-05,XGB_prob
100,6.22E-06,XGB_prob
259,4.83E-05,XGB_prob
157,0.000537341,XGB_prob
260,8.12E-05,XGB_prob
259,0.000205965,XGB_prob
260,9.04E-05,XGB_prob
172,3.94E-05,XGB_prob
260,0.000119444,XGB_prob
33,0.000355594,XGB_prob
215,2.78E-05,XGB_prob
239,0.000539431,XGB_prob
258,2.98E-05,XGB_prob
259,0.000108069,XGB_prob
93,4.77E-05,XGB_prob
260,6.25E-05,XGB_prob
260,4.84E-05,XGB_prob
260,1.22E-05,XGB_prob
259,0.006221499,XGB_prob
189,2.08E-05,XGB_prob
59,1.92E-05,XGB_prob
160,3.01E-05,XGB_prob
260,0.001091882,XGB_prob
99,9.35E-05,XGB_prob
260,1.08E-05,XGB_prob
260,3.33E-05,XGB_prob
259,0.000123427,XGB_prob
260,0.000559959,XGB_prob
260,0.000507753,XGB_prob
260,3.19E-05,XGB_prob
260,0.000159124,XGB_prob
260,1.37E-05,XGB_prob
260,2.71E-05,XGB_prob
38,0.014884057,XGB_prob
260,0.000223046,XGB_prob
104,0.000448411,XGB_prob
260,3.16E-05,XGB_prob
164,0.000109929,XGB_prob
203,0.003481776,XGB_prob
258,3.74E-05,XGB_prob
260,2.06E-05,XGB_prob
256,2.17E-05,XGB_prob
260,7.82E-05,XGB_prob
260,5.62E-06,XGB_prob
209,0.00535322,XGB_prob
250,3.53E-05,XGB_prob
260,1.00E-05,XGB_prob
111,8.34E-05,XGB_prob
260,1.54E-05,XGB_prob
260,6.08E-05,XGB_prob
260,7.98E-05,XGB_prob
128,0.000178518,XGB_prob
105,2.60E-05,XGB_prob
260,1.58E-05,XGB_prob
240,1.51E-05,XGB_prob
256,0.016211471,XGB_prob
260,0.000930403,XGB_prob
259,1.46E-05,XGB_prob
259,0.000119785,XGB_prob
256,1.85E-05,XGB_prob
156,3.21E-05,XGB_prob
260,4.74E-05,XGB_prob
33,6.44E-05,XGB_prob
260,1.32E-05,XGB_prob
216,0.000240079,XGB_prob
47,2.79E-05,XGB_prob
249,2.38E-05,XGB_prob
260,2.60E-05,XGB_prob
93,1.24E-05,XGB_prob
260,2.21E-05,XGB_prob
260,4.46E-05,XGB_prob
