site,Prob,model,,RF_prob,SVM_prob
260,0.000110601,XGB_prob,,0,0.00034175
157,4.72E-05,XGB_prob,,0,0.003741749
170,0.000360981,XGB_prob,,0,0.001588697
260,8.21E-05,XGB_prob,,0,0.00027877
258,0.000280312,XGB_prob,,0,0.000172177
260,0.000529697,XGB_prob,,0.02,0.002519956
155,6.35E-05,XGB_prob,,0.01,0.005537771
208,1.94E-05,XGB_prob,,0,0.000746725
191,0.002040468,XGB_prob,,0.06,0.037390292
76,0.000479284,XGB_prob,,0.04,0.037400569
258,3.54E-05,XGB_prob,,0,0.001051146
58,3.86E-05,XGB_prob,,0,0.00079789
91,5.79E-05,XGB_prob,,0,0.001037654
239,5.24E-05,XGB_prob,,0,0.001681787
239,0.000135943,XGB_prob,,0,0.007402858
260,2.51E-05,XGB_prob,,0,4.84E-05
249,1.30E-05,XGB_prob,,0,0.000120192
250,1.63E-05,XGB_prob,,0,0.000139331
260,1.41E-05,XGB_prob,,0,0.000106148
260,1.02E-05,XGB_prob,,0,8.99E-05
260,0.001091882,XGB_prob,,0,0.007632258
259,0.000115424,XGB_prob,,0,0.002698297
260,9.67E-05,XGB_prob,,0,0.00123447
250,0.000223626,XGB_prob,,0,0.001932996
104,0.000448411,XGB_prob,,0.01,0.002430145
30,0.000482214,XGB_prob,,0.02,0.037330369
98,8.94E-06,XGB_prob,,0,4.62E-05
260,0.000219215,XGB_prob,,0.01,0.014502315
260,8.14E-05,XGB_prob,,0,0.000512251
259,2.22E-05,XGB_prob,,0,0.00072974
26,4.62E-05,XGB_prob,,0,0.00049925
260,0.000151397,XGB_prob,,0,0.000588224
235,1.01E-05,XGB_prob,,0,0.000153841
260,2.99E-05,XGB_prob,,0,0.004437237
260,0.000997531,XGB_prob,,0,0.023589536
166,1.21E-05,XGB_prob,,0,0.002106971
75,6.96E-05,XGB_prob,,0,0.000568906
91,3.29E-05,XGB_prob,,0,0.001738524
202,3.44E-05,XGB_prob,,0,0.000399222
